CodigoFabricante;Descricao;Fabricante (Marca);Tensão;Corrente;Data Entrada; UN Auditada ;Unidade;
2-08-00040;RELÉ TEMPORIZADOR ESTRELA TRIÂNGULO 24 VCA;;;;17/08/2023; 45 ;UN;
2-21-00307;"SEALTUBO COM MALHA INTERNA DE AÇO 1/2""";;;;;;;
2-21-00094;"SEALTUBO COM MALHA INTERNA DE AÇO 3/4""";;;;;;;
2-21-00089;"SENSOR TERMOPAR TIPO ""J"" MODELO VARETA 200MM";;;;;;;
2-08-00083;SINALEIRO TIPO LED AZUL 22MM 24V;;;;;;;
2-08-00323;SINALEIRO TIPO LED LARANJA 22MM 24V;;;;;;;
2-08-00085;SINALEIRO TIPO LED VERMELHO 22MM 24V;;;;;;;
2-08-00090;SUPORTE PARA TRILHO 45°;;;;;;;
2-08-00089;TAMPA BORNE BTWP;;;;;;;
2-21-00541;TEMPORIZADOR DIGITAL TDH-1361R 90 - P762 MESMO 2-21-00541;;;;17/08/2023; 15 ;UN;
2-08-00343;TERMINAL COMPRESSÃO OLHAL 4 A 6MM;;;;;;;
2-08-00003;TERMINAL TUBULAR ILHÓS DUPLO 1,0MM VERMELHO;;;;;;;
2-08-00176;TERMINAL TUBULAR ILHÓS DUPLO 2,5MM AZUL;;;;;;;
2-08-00190;TERMINAL TUBULAR ILHÓS DUPLO 6,0MM AMARELO;;;;;;;
2-08-00010;TERMINAL TUBULAR ILHÓS SIMPLES 1,0MM VERMELHO;;;;;;;
2-08-00136;TERMINAL TUBULAR ILHÓS SIMPLES 2,5MM AZUL;;;;;;;
2-08-00189;TERMINAL TUBULAR ILHÓS SIMPLES 6,0MM AMARELO;;;;;;;
1-02-00159;TERMOPAR TIPO J VARETA 5MMX400MM COMP;;;;;;;
2-21-00084;TOMADA INDUSTRIAL DE SOBREPOR 3P+T 16A 200-240V AZUL;;;;;;;
2-08-00073;TOMADA INDUSTRIAL DE SOBREPOR 3P+T 32A 200-240V AZUL IP44;;;;;;;
2-08-00097;TOMADA INDUSTRIAL DE SOBREPOR 3P+T 32A 380-440V VERMELHO IP44;;;;;;;
2-21-00419;TOTALIZADOR DE HORAS ANALOGICO PLHM-24VCA 1/100;;;;17/08/2023; 47 ;UN;
2-21-00267;TRANSFORMADOR ENTRADA 220/380/440 SAIDA 24V/100VA 220V/50VA;;;;;;;
2-08-00046;TRILHO DIN PERFURADO 35MM;;;;;;;
2-07-00316;"TRINCO PORTA CADEADO 2 1/2""";;;;;;;
2-09-00001;"VÁLVULA SOLENÓIDE RETORNO POR MOLA 3/2 VIAS 1/4"" 24 VCA";;;;;;;
2-21-00090;"VÁLVULA SOLENÓIDE RETORNO POR MOLA 5/2 VIAS 1/4"" 24 VCA";;;;;;;
;CABO FLEX UNIFILAR 10,0MM VERDE;;;;08/08/2023; 106 ;MT;
;TERMINAL COMPRESSÃO OLHAL 120MM;;;;09/08/2023; 22 ;UN;
;CABO FLEX UNIFILAR 2,5MM AZUL;;;;10/08/2023;;MT;
;CAIXA METÁLICA 800X600X250;;;;11/08/2023; 2 ;UN;
;CAIXA METÁLICA 1200X800X250;;;;11/08/2023; 1 ;UN;
;CAIXA PVC SOBREPOR 500X400X200;;;;11/08/2023; 2 ;UN;
;CAIXA METÁLICA 500X500X250 C/ FLANGE;;;;11/08/2023; 1 ;UN;
;MINI DISJUNTOR MONOPOLAR 6A;;;;11/08/2023; 53 ;UN;
;MINI DISJUNTOR MONOPOLAR 25A;;;;11/08/2023; 1 ;UN;
;MINI DISJUNTOR MONOPOLAR 32A;;;;11/08/2023; 1 ;UN;
;MINI DISJUNTOR BIPOLAR 4A;;;;11/08/2023; 4 ;UN;
;MINI DISJUNTOR BIPOLAR 6A;;;;11/08/2023; 14 ;UN;
;MINI DISJUNTOR BIPOLAR 16A;;;;11/08/2023; 1 ;UN;
;MINI DISJUNTOR BIPOLAR 20A;;;;11/08/2023; 1 ;UN;
;MINI DISJUNTOR BIPOLAR 25A;;;;11/08/2023; 3 ;UN;
;MINI DISJUNTOR BIPOLAR 32A;;;;11/08/2023; 3 ;UN;
;MINI DISJUNTOR BIPOLAR 40A;;;;11/08/2023; 2 ;UN;
;MINI DISJUNTOR TRIPOLAR 4A;;;;11/08/2023; 1 ;UN;
;MINI DISJUNTOR TRIPOLAR 6A;;;;11/08/2023; 6 ;UN;
;MINI DISJUNTOR TRIPOLAR 10A;;;;11/08/2023; 4 ;UN;
;MINI DISJUNTOR TRIPOLAR 16A;;;;11/08/2023; 15 ;UN;
;MINI DISJUNTOR TRIPOLAR 20A;;;;11/08/2023; 20 ;UN;
;MINI DISJUNTOR TRIPOLAR 25A;;;;11/08/2023; 68 ;UN;
;MINI DISJUNTOR TRIPOLAR 50A;;;;11/08/2023; 7 ;UN;
;MINI DISJUNTOR TRIPOLAR 63A;;;;11/08/2023; 4 ;UN;
;MINI DISJUNTOR TRIPOLAR 70A;;;;11/08/2023; 2 ;UN;
;MINI DISJUNTOR MONOPOLAR 63A;;;;14/08/2023; -   ;UN;
;MINI DISJUNTOR MONOPOLAR 10A;;;;14/08/2023; -   ;UN;
;DISJUNTOR MOTOR MPW40 1 - 1,6A;;;;17/08/2023; 1 ;UN;
;DISJUNTOR MOTOR MPW18 1,6 - 2,5A;;;;17/08/2023; 7 ;UN;
;DISJUNTOR MOTOR MPW40 1,6 - 2,5A;;;;17/08/2023; 2 ;UN;
;DISJUNTOR MOTOR MPW18 10 - 16A;;;;17/08/2023; 28 ;UN;
;DISJUNTOR MOTOR MPW40 16 - 20A;;;;17/08/2023; 6 ;UN;
;DISJUNTOR MOTOR MPW40 20 - 25A;;;;17/08/2023; 9 ;UN;
;DISJUNTOR MOTOR MPW40 25 - 32A;;;;17/08/2023; 10 ;UN;
;DISJUNTOR MOTOR MPW80 50 - 65A;;;;17/08/2023; 2 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWB9 - 24VDC;;;;17/08/2023; 2 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWB25 - 24VDC;;;;17/08/2023; 1 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWB25 - 110V;;;;17/08/2023; 1 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWB25 - 24VCA;;;;17/08/2023; 16 ;UN;
;CONTATOR DE SEGURANÇA CWBS25 - 24VCA;;;;17/08/2023; 9 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWB32 - 24VCA;;;;17/08/2023; 3 ;UN;
;CONTATOR DE SEGURANÇA CWBS32 - 24VCA;;;;17/08/2023; 1 ;UN;
;CONTATOR DE SEGURANÇA CWBS38 - 24VCA;;;;17/08/2023; 9 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWB40 - 24VCA;;;;17/08/2023; 15 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWB40 - 24VDC;;;;17/08/2023; 4 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWB80 - 24VCA;;;;17/08/2023; 1 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWM9 - 24VDC;;;;17/08/2023; 6 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWM9 - 24VCA;;;;17/08/2023; 2 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWM18 - 24VDC;;;;17/08/2023; 3 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWM25 - 24VDC;;;;17/08/2023; 1 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWM25 - 24VCA;;;;17/08/2023; 1 ;UN;
;CONTATOR DE SEGURANÇA CWBS65 - 24VCA;;;;17/08/2023; 2 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWM40 - 24VCA;;;;17/08/2023; 1 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWM40 - 120V;;;;17/08/2023; 1 ;UN;
;CONTATOR DE POTENCIA TRIPOLAR CWM40 - 220V;;;;17/08/2023; 1 ;UN;
;TOTALIZADOR DE HORAS DIGITAL;;;;17/08/2023; 19 ;UN;
;TEMPORIZADOR DIGITAL TDH-1361R 90 - P834 (P150 ATUALIZ.);;;;17/08/2023; 4 ;UN;
;TEMPORIZADOR DIGITAL TDH-033NDK - P150 (MOD. ANT);;;;17/08/2023; 4 ;UN;
;TEMPORIZADOR DIGITAL P658;;;;17/08/2023; 4 ;UN;
;CABO FLEX UNIFILAR 1,50MM AMARELO;;;;;;MT;
;CABO FLEX UNIFILAR 1,50MM AZUL;;;;;;MT;
;CABO FLEX UNIFILAR 1,50MM VERMELHO;;;;;;MT;
;CABO FLEX UNIFILAR 2,50MM AMARELO;;;;;;MT;
;CABO FLEX UNIFILAR 2,50MM AZUL;;;;;;MT;
;CABO FLEX UNIFILAR 4,00MM AZUL;;;;;;MT;
;CABO FLEX UNIFILAR 4,00MM VERDE;;;;;;MT;
;CABO FLEX UNIFILAR 4,00MM VERMELHO;;;;;;MT;
;CABO FLEX UNIFILAR 6,00MM AZUL;;;;;;MT;
;CABO FLEX UNIFILAR 10,00MM VERDE;;;;;;MT;
;CABO FLEX UNIFILAR 10,00MM AZUL;;;;;;MT;
;CABO FLEX UNIFILAR 16,00MM PRETO;;;;;;MT;
;CABO FLEX UNIFILAR 16,00MM AZUL;;;;;;MT;
;CAIXA METÁLICA 1200X600X300;;;;;;PC;
;CAIXA METÁLICA 1000X600X300;;;;;;PC;
;CAIXA METÁLICA 1200X800X400;;;;;;PC;
;CAIXA METÁLICA 1200X800X300;;;;;;PC;
